+-------+-----+------+------+-----+-----+--------+--------------------------------------+-------+--------+---------+--------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                  |  MIN  |  MAX   |   SUM   |  AVG   |  P1   |  P50   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
|     2 |   0 |    2 |    0 |   0 |   0 | GET    | /api/user/nakamuraryohei0/livestream | 0.040 |  0.076 |   0.116 |  0.058 | 0.040 |  0.040 |  0.040 |  0.018 |  3949.000 |   4917.000 |     8866.000 |  4433.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/iyamamoto1/livestream      | 0.048 |  0.048 |   0.048 |  0.048 | 0.048 |  0.048 |  0.048 |  0.000 |  9381.000 |   9381.000 |     9381.000 |  9381.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/kazuyasato0/livestream     | 0.048 |  0.048 |   0.048 |  0.048 | 0.048 |  0.048 |  0.048 |  0.000 |  3765.000 |   3765.000 |     3765.000 |  3765.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/satomigoto0/livestream     | 0.044 |  0.044 |   0.044 |  0.044 | 0.044 |  0.044 |  0.044 |  0.000 |  2878.000 |   2878.000 |     2878.000 |  2878.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/maiokamoto0/livestream     | 0.040 |  0.040 |   0.040 |  0.040 | 0.040 |  0.040 |  0.040 |  0.000 |  3821.000 |   3821.000 |     3821.000 |  3821.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/reisakamoto0/livestream    | 0.040 |  0.040 |   0.040 |  0.040 | 0.040 |  0.040 |  0.040 |  0.000 |  4916.000 |   4916.000 |     4916.000 |  4916.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/shayashi0/livestream       | 0.036 |  0.036 |   0.036 |  0.036 | 0.036 |  0.036 |  0.036 |  0.000 |  2812.000 |   2812.000 |     2812.000 |  2812.000 |
|     3 |   0 |    3 |    0 |   0 |   0 | GET    | /api/user/me                         | 0.000 |  0.004 |   0.008 |  0.003 | 0.004 |  0.004 |  0.004 |  0.002 |   194.000 |    206.000 |      606.000 |   202.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/payment                         | 0.008 |  0.008 |   0.008 |  0.008 | 0.008 |  0.008 |  0.008 |  0.000 |    15.000 |     15.000 |       15.000 |    15.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+$              | 0.004 |  0.004 |   0.004 |  0.004 | 0.004 |  0.004 |  0.004 |  0.000 |  1097.000 |   1097.000 |     1097.000 |  1097.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/test                       | 0.000 |  0.000 |   0.000 |  0.000 | 0.000 |  0.000 |  0.000 |  0.000 |   194.000 |    194.000 |      194.000 |   194.000 |
+-------+-----+------+------+-----+-----+--------+--------------------------------------+-------+--------+---------+--------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
