+-------+-----+------+------+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                  URI                  |  MIN   |  MAX   |   SUM   |  AVG   |   P1   |  P50   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/nakamurataro0/livestream    |  0.048 |  0.048 |   0.048 |  0.048 |  0.048 |  0.048 |  0.048 |  0.000 |  2927.000 |   2927.000 |     2927.000 |  2927.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/yoko260/livestream          |  0.048 |  0.048 |   0.048 |  0.048 |  0.048 |  0.048 |  0.048 |  0.000 |  5646.000 |   5646.000 |     5646.000 |  5646.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/nfukuda0/livestream         |  0.044 |  0.044 |   0.044 |  0.044 |  0.044 |  0.044 |  0.044 |  0.000 |  3754.000 |   3754.000 |     3754.000 |  3754.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/satomikobayashi0/livestream |  0.040 |  0.040 |   0.040 |  0.040 |  0.040 |  0.040 |  0.040 |  0.000 |  8744.000 |   8744.000 |     8744.000 |  8744.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/yasuhiro280/livestream      |  0.028 |  0.028 |   0.028 |  0.028 |  0.028 |  0.028 |  0.028 |  0.000 |  2849.000 |   2849.000 |     2849.000 |  2849.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/ahashimoto0/livestream      |  0.008 |  0.008 |   0.008 |  0.008 |  0.008 |  0.008 |  0.008 |  0.000 |  1926.000 |   1926.000 |     1926.000 |  1926.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/payment                          |  0.008 |  0.008 |   0.008 |  0.008 |  0.008 |  0.008 |  0.008 |  0.000 |    15.000 |     15.000 |       15.000 |    15.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+$               |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  1081.000 |   1081.000 |     1081.000 |  1081.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/test                        |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   194.000 |    194.000 |      194.000 |   194.000 |
|     3 |   0 |    3 |    0 |   0 |   0 | GET    | /api/user/me                          |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   194.000 |    206.000 |      606.000 |   202.000 |
+-------+-----+------+------+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
